match_id,fecha,fase,grupo,jornada,local,goles_local,visitante,goles_visitante,nota,total_goles,dif_goles,resultado,es_eliminacion_directa,fue_penales,fue_tiempo_extra
25,2026-06-14,Fase de grupos,E,1.0,Germany,7,Curacao,1,,8,6,Local,False,False,False
26,2026-06-14,Fase de grupos,E,1.0,Ivory Coast,1,Ecuador,0,,1,1,Local,False,False,False
27,2026-06-20,Fase de grupos,E,2.0,Germany,2,Ivory Coast,1,,3,1,Local,False,False,False
28,2026-06-20,Fase de grupos,E,2.0,Ecuador,0,Curacao,0,,0,0,Empate,False,False,False
29,2026-06-25,Fase de grupos,E,3.0,Ecuador,2,Germany,1,,3,1,Local,False,False,False
30,2026-06-25,Fase de grupos,E,3.0,Curacao,0,Ivory Coast,2,,2,2,Visitante,False,False,False
31,2026-06-14,Fase de grupos,F,1.0,Netherlands,2,Japan,2,,4,0,Empate,False,False,False
32,2026-06-14,Fase de grupos,F,1.0,Sweden,5,Tunisia,1,,6,4,Local,False,False,False
33,2026-06-20,Fase de grupos,F,2.0,Netherlands,5,Sweden,1,,6,4,Local,False,False,False
34,2026-06-20,Fase de grupos,F,2.0,Japan,4,Tunisia,0,,4,4,Local,False,False,False
35,2026-06-25,Fase de grupos,F,3.0,Japan,1,Sweden,1,,2,0,Empate,False,False,False
36,2026-06-25,Fase de grupos,F,3.0,Netherlands,3,Tunisia,1,,4,2,Local,False,False,False
37,2026-06-15,Fase de grupos,G,1.0,Belgium,1,Egypt,1,,2,0,Empate,False,False,False
38,2026-06-15,Fase de grupos,G,1.0,IR Iran,2,New Zealand,2,,4,0,Empate,False,False,False
39,2026-06-21,Fase de grupos,G,2.0,Belgium,0,IR Iran,0,,0,0,Empate,False,False,False
40,2026-06-21,Fase de grupos,G,2.0,Egypt,3,New Zealand,1,,4,2,Local,False,False,False
41,2026-06-27,Fase de grupos,G,3.0,Egypt,1,IR Iran,1,,2,0,Empate,False,False,False
42,2026-06-27,Fase de grupos,G,3.0,Belgium,5,New Zealand,1,,6,4,Local,False,False,False
43,2026-06-15,Fase de grupos,H,1.0,Spain,0,Cape Verde,0,,0,0,Empate,False,False,False
44,2026-06-15,Fase de grupos,H,1.0,Saudi Arabia,1,Uruguay,1,,2,0,Empate,False,False,False
45,2026-06-21,Fase de grupos,H,2.0,Spain,4,Saudi Arabia,0,,4,4,Local,False,False,False
46,2026-06-21,Fase de grupos,H,2.0,Uruguay,2,Cape Verde,2,,4,0,Empate,False,False,False
47,2026-06-26,Fase de grupos,H,3.0,Cape Verde,0,Saudi Arabia,0,,0,0,Empate,False,False,False
48,2026-06-26,Fase de grupos,H,3.0,Spain,1,Uruguay,0,,1,1,Local,False,False,False
49,2026-06-16,Fase de grupos,I,1.0,France,3,Senegal,1,,4,2,Local,False,False,False
50,2026-06-16,Fase de grupos,I,1.0,Norway,4,Iraq,1,,5,3,Local,False,False,False
51,2026-06-22,Fase de grupos,I,2.0,France,3,Iraq,0,,3,3,Local,False,False,False
52,2026-06-22,Fase de grupos,I,2.0,Norway,3,Senegal,2,,5,1,Local,False,False,False
53,2026-06-26,Fase de grupos,I,3.0,France,4,Norway,1,,5,3,Local,False,False,False
54,2026-06-26,Fase de grupos,I,3.0,Senegal,5,Iraq,0,,5,5,Local,False,False,False
55,2026-06-16,Fase de grupos,J,1.0,Argentina,3,Algeria,0,,3,3,Local,False,False,False
56,2026-06-16,Fase de grupos,J,1.0,Austria,3,Jordan,1,,4,2,Local,False,False,False
57,2026-06-22,Fase de grupos,J,2.0,Argentina,2,Austria,0,,2,2,Local,False,False,False
58,2026-06-22,Fase de grupos,J,2.0,Jordan,1,Algeria,2,,3,1,Visitante,False,False,False
59,2026-06-27,Fase de grupos,J,3.0,Argentina,3,Jordan,1,,4,2,Local,False,False,False
60,2026-06-27,Fase de grupos,J,3.0,Austria,3,Algeria,3,,6,0,Empate,False,False,False
61,2026-06-17,Fase de grupos,K,1.0,Portugal,1,Congo DR,1,,2,0,Empate,False,False,False
62,2026-06-17,Fase de grupos,K,1.0,Uzbekistan,1,Colombia,3,,4,2,Visitante,False,False,False
63,2026-06-23,Fase de grupos,K,2.0,Portugal,5,Uzbekistan,0,,5,5,Local,False,False,False
64,2026-06-23,Fase de grupos,K,2.0,Colombia,1,Congo DR,0,,1,1,Local,False,False,False
65,2026-06-27,Fase de grupos,K,3.0,Colombia,0,Portugal,0,,0,0,Empate,False,False,False
66,2026-06-27,Fase de grupos,K,3.0,Congo DR,3,Uzbekistan,1,,4,2,Local,False,False,False
67,2026-06-17,Fase de grupos,L,1.0,England,4,Croatia,2,,6,2,Local,False,False,False
68,2026-06-17,Fase de grupos,L,1.0,Ghana,1,Panama,0,,1,1,Local,False,False,False
69,2026-06-23,Fase de grupos,L,2.0,England,0,Ghana,0,,0,0,Empate,False,False,False
70,2026-06-23,Fase de grupos,L,2.0,Croatia,1,Panama,0,,1,1,Local,False,False,False
71,2026-06-27,Fase de grupos,L,3.0,England,2,Panama,0,,2,2,Local,False,False,False
72,2026-06-27,Fase de grupos,L,3.0,Croatia,2,Ghana,1,,3,1,Local,False,False,False
73,2026-06-28,Ronda de 32,,,South Africa,0,Canada,1,,1,1,Visitante,True,False,False
74,2026-06-29,Ronda de 32,,,Brazil,2,Japan,1,,3,1,Local,True,False,False
75,2026-06-29,Ronda de 32,,,Germany,1,Paraguay,1,Paraguay gana 4-3 en penales,2,0,Empate,True,True,False
76,2026-06-29,Ronda de 32,,,Netherlands,1,Morocco,1,Marruecos gana 3-2 en penales,2,0,Empate,True,True,False
77,2026-06-30,Ronda de 32,,,Ivory Coast,1,Norway,2,,3,1,Visitante,True,False,False
78,2026-06-30,Ronda de 32,,,France,3,Sweden,0,,3,3,Local,True,False,False
79,2026-06-30,Ronda de 32,,,Mexico,2,Ecuador,0,,2,2,Local,True,False,False
80,2026-07-01,Ronda de 32,,,England,2,Congo DR,1,,3,1,Local,True,False,False
81,2026-07-01,Ronda de 32,,,Belgium,3,Senegal,2,Tiempo extra,5,1,Local,True,False,True
82,2026-07-01,Ronda de 32,,,USA,2,Bosnia and Herzegovina,0,,2,2,Local,True,False,False
83,2026-07-02,Ronda de 32,,,Spain,3,Austria,0,,3,3,Local,True,False,False
84,2026-07-02,Ronda de 32,,,Portugal,2,Croatia,1,,3,1,Local,True,False,False
85,2026-07-02,Ronda de 32,,,Switzerland,2,Algeria,0,,2,2,Local,True,False,False
86,2026-07-03,Ronda de 32,,,Australia,1,Egypt,1,Egipto gana 4-2 en penales,2,0,Empate,True,True,False
87,2026-07-03,Ronda de 32,,,Argentina,3,Cape Verde,2,Tiempo extra,5,1,Local,True,False,True
88,2026-07-03,Ronda de 32,,,Colombia,1,Ghana,0,,1,1,Local,True,False,False
89,2026-07-04,Octavos de Final,,,Morocco,3,Canada,0,,3,3,Local,True,False,False
90,2026-07-04,Octavos de Final,,,France,1,Paraguay,0,,1,1,Local,True,False,False
91,2026-07-05,Octavos de Final,,,Brazil,0,Norway,2,,2,2,Visitante,True,False,False
92,2026-07-05,Octavos de Final,,,Mexico,2,England,3,,5,1,Visitante,True,False,False
93,2026-07-06,Octavos de Final,,,Spain,1,Portugal,0,,1,1,Local,True,False,False
94,2026-07-06,Octavos de Final,,,Belgium,4,USA,1,,5,3,Local,True,False,False
95,2026-07-07,Octavos de Final,,,Argentina,3,Egypt,2,,5,1,Local,True,False,False
96,2026-07-07,Octavos de Final,,,Switzerland,0,Colombia,0,Suiza gana 4-3 en penales,0,0,Empate,True,True,False
97,2026-07-09,Cuartos de Final,,,France,2,Morocco,0,,2,2,Local,True,False,False
98,2026-07-10,Cuartos de Final,,,Spain,2,Belgium,1,,3,1,Local,True,False,False
99,2026-07-11,Cuartos de Final,,,Norway,1,England,2,Tiempo extra,3,1,Visitante,True,False,True
100,2026-07-11,Cuartos de Final,,,Argentina,3,Switzerland,1,,4,2,Local,True,False,False
101,2026-07-14,Semifinal,,,France,0,Spain,2,,2,2,Visitante,True,False,False
102,2026-07-15,Semifinal,,,England,1,Argentina,2,,3,1,Visitante,True,False,False
103,2026-07-18,Tercer puesto,,,France,4,England,6,,10,2,Visitante,True,False,False
104,2026-07-19,Final,,,Spain,1,Argentina,0,Tiempo extra,1,1,Local,True,False,True
